gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,7,1536,4096,ck,7,0,11.5016,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.66,551.37,0.0
gfx942,304,8,1536,4096,ck,7,0,11.2214,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.97,565.78,0.0
gfx942,304,8,4096,4096,ck,7,0,11.0425,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,24.31,1528.23,0.0
gfx942,304,8,4096,8192,ck,7,0,19.4501,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.6,1731.89,0.0
gfx942,304,16,1536,4096,ck,7,0,10.4047,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.35,615.7,0.0
gfx942,304,16,4096,4096,ck,7,0,10.2152,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.56,1661.62,0.0
gfx942,304,16,4096,8192,ck,7,0,17.9134,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,59.94,1887.78,0.0
gfx942,304,21,4096,8192,ck,7,0,19.4432,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,72.48,1743.46,0.0
gfx942,304,28,1536,4096,ck,7,0,11.5517,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,30.5,562.01,0.0
gfx942,304,28,4096,4096,ck,7,0,11.0861,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,84.75,1544.39,0.0
gfx942,304,32,1536,4096,ck,7,0,10.6132,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.94,614.41,0.0
gfx942,304,32,4096,4096,ck,7,0,10.3057,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,104.19,1666.11,0.0
gfx942,304,32,4096,8192,ck,7,0,17.6291,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,121.81,1933.09,0.0
gfx942,304,35,4096,4096,ck,7,0,11.095,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,105.85,1550.91,0.0
gfx942,304,42,4096,4096,ck,7,0,11.1248,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,126.68,1554.48,0.0
gfx942,304,64,1536,4096,ck,7,0,10.6441,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,75.66,634.17,0.0
gfx942,304,64,4096,4096,ck,7,0,11.072,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,193.96,1586.31,0.0
gfx942,304,64,4096,8192,ck,7,0,19.157,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,224.2,1806.29,0.0
gfx942,304,128,1536,4096,ck,7,0,10.4885,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,153.56,687.32,0.0
gfx942,304,128,4096,4096,ck,12,0,14.1193,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,304.19,1299.65,0.0
gfx942,304,128,4096,8192,ck,12,0,24.0237,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,357.56,1484.02,0.0
gfx942,304,256,1536,4096,ck,12,0,11.3275,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,284.37,717.41,0.0
gfx942,304,256,4096,4096,ck,11,0,20.0206,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,429.05,995.12,0.0
gfx942,304,256,4096,8192,ck,11,0,36.7958,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,466.9,1025.9,0.0
gfx942,304,512,1536,4096,ck,11,0,17.1091,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,376.55,582.23,0.0
gfx942,304,512,4096,4096,ck,14,0,31.351,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,547.98,735.82,0.0
gfx942,304,512,4096,8192,ck,16,0,58.5115,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,587.23,716.83,0.0
gfx942,304,1024,1536,4096,ck,16,0,26.7869,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,481.02,508.89,0.0
gfx942,304,1024,4096,4096,ck,14,0,52.9931,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,648.38,554.04,0.0
gfx942,304,1024,4096,8192,ck,1,0,98.7327,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,696.02,509.78,0.0
gfx942,304,1664,1536,4096,ck,13,0,41.3202,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,506.72,440.92,0.0
gfx942,304,1664,4096,4096,ck,14,0,73.4765,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,759.9,506.62,0.0
gfx942,304,1664,4096,8192,ck,14,0,140.9972,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,792.0,431.34,0.0
gfx942,304,1664,32768,1024,ck,13,0,160.9619,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,693.76,896.55,0.0
gfx942,304,2048,1536,4096,asm,4,1,40.9553,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,629.22,512.06,0.0
gfx942,304,2048,4096,4096,asm,5,1,91.9407,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,747.43,456.2,0.0
gfx942,304,2048,4096,8192,asm,5,1,153.0713,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,897.88,438.42,0.0
gfx942,304,2048,32768,1024,ck,13,0,191.1665,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,718.95,888.59,0.0
gfx942,304,2688,1536,4096,ck,14,0,51.8662,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,652.12,492.79,0.0
gfx942,304,2688,4096,4096,ck,1,0,120.2725,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,749.92,414.12,0.0
